RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0027,13,2014,1,18,0751,-9,30,D,51.2459,1.7077,51.2753,1.7266,31F1,43,V,S0027,1,1,C,5.8000,-9,,3519,201,26,,4.5000,1300,55.0,,145,0.7000,700,29,3.8000,4.8000,,,,,140,23,,,10.6,,35.20,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0152,78,2014,2,11,0714,-9,30,D,51.3067,2.0438,51.3268,2.0855,31F2,41,V,S0152,1,1,C,6.0000,-9,,3659,200,26,,4.5000,1300,55.0,17.0,145,0.7000,700,,,,,,,,186,22,,,9.6,,35.20,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0153,79,2014,2,11,0939,-9,30,D,51.5258,1.7576,51.5600,1.7546,32F1,43,V,S0153,1,1,C,5.5000,-9,,3801,229,26,,4.5000,1300,66.0,19.0,145,0.7000,700,,,,,,,,184,13,,,9.4,,35.10,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0155,81,2014,2,11,1541,-9,31,D,51.6181,2.5394,51.6487,2.5621,32F2,41,V,S0155,1,1,C,5.8000,-9,,3760,199,26,,4.5000,1300,60.0,18.0,145,0.7000,700,,,,,,,,271,21,,,9.4,,35.10,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0154,80,2014,2,11,1230,-9,30,D,51.6687,2.1665,51.6987,2.1370,32F2,49,V,S0154,1,1,C,5.5000,-9,,3974,238,26,,4.5000,1300,66.0,19.0,145,0.7000,700,,,,,,,,190,38,,,9.6,,35.30,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0097,49,2014,2,1,1312,-9,31,D,51.8338,3.6708,51.8210,3.6347,32F3,26,V,S0097,1,1,C,6.3000,-9,,2858,180,26,,4.5000,1300,52.0,17.0,145,0.7000,700,237,3.0000,5.5000,,,,,215,29,,,6.9,,33.20,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0050,23,2014,1,22,0746,-9,31,D,52.1061,1.9432,52.0761,1.9280,33F1,28,V,S0050,1,1,C,6.3000,-9,,3492,200,26,,4.5000,1300,55.0,,145,0.7000,700,192,3.6000,4.8000,,,,,158,29,,,9.3,,34.90,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0144,75,2014,2,10,0711,-9,30,D,52.2642,4.1852,52.2807,4.1392,33F4,21,V,S0144,1,1,C,6.3000,-9,,3626,159,26,,4.5000,1300,51.0,23.0,145,0.7000,700,,,,,,,,144,7,,,6.7,,33.10,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0145,76,2014,2,10,1017,-9,30,D,52.2685,3.8751,52.2497,3.9183,33F3,26,V,S0145,1,1,C,5.9000,-9,,3620,175,26,,4.5000,1300,53.0,17.0,145,0.7000,700,,,,,,,,178,21,,,7.7,,34.50,,,,,,,,,-9,,
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0051,24,2014,1,22,1000,-9,30,D,52.3193,2.0602,52.3522,2.0651,33F2,39,V,S0051,1,1,C,5.8000,-9,,3690,230,26,,4.5000,1300,59.0,19.0,145,0.7000,700,47,3.9000,4.1000,,,,,167,26,,,9.3,,34.80,,,,,,,,,-9,,
