RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,392,392,2019,11,11,1407,B1Q4,16,D,57.6190,-6.7240,57.6030,-6.7270,44E3,148,V,74SC0448,1,1,R,4.4000,-9,,1801,490,28,,4.5000,1100,90.0,23.0,186,0.7000,,185,3.7000,,225,0.2000,,,331,11,330,0.5000,12.0,12.0,34.45,34.48,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,381,381,2019,11,9,0732,G1Q4,30,D,58.3370,-7.3750,58.3060,-7.3720,45E2,89,V,74SC0439,1,1,R,5.8000,-9,,3528,307,28,,4.5000,1100,84.0,17.0,186,0.7000,,182,3.8000,,6,0.4000,,,120,11,50,3.0000,11.4,11.6,34.94,35.09,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,376,376,2019,11,7,1500,G1Q4,30,D,58.6670,-4.2080,58.6650,-4.2680,46E5,90,V,74SC0434,1,1,R,5.6000,-9,,3514,300,28,,4.5000,1100,84.0,18.0,186,0.7000,,270,3.8000,,63,0.2000,,,62,11,50,2.5000,11.3,11.5,34.55,35.03,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,377,377,2019,11,8,0726,G1Q4,30,D,58.7310,-6.3520,58.7580,-6.3740,46E3,120,V,74SC0435,1,1,R,5.5000,-9,,3253,390,28,,4.5000,1100,90.0,18.0,186,0.7000,,342,3.5000,,134,0.1000,,,34,10,30,2.5000,11.4,10.5,34.94,35.30,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,47,I2,P,375,375,2019,11,7,1215,G1Q4,16,D,58.8920,-4.5730,58.8980,-4.5420,46E5,79,V,74SC0433,1,1,R,5.7000,-9,,1884,265,28,,4.5000,1100,67.0,18.0,186,0.7000,,70,3.7000,,273,0.4000,,,60,16,70,1.5000,11.2,11.7,34.56,34.76,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,378,378,2019,11,8,0935,G1Q4,30,D,58.9110,-6.6900,58.9410,-6.6710,46E3,140,V,74SC0436,1,1,R,5.2000,-9,,3489,450,28,,4.5000,1100,100.0,20.0,186,0.7000,,25,3.8000,,278,0.3000,,,40,8,35,3.0000,11.4,10.5,34.96,35.30,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,379,379,2019,11,8,1210,G1Q4,15,D,58.9550,-7.0360,58.9620,-7.0630,46E2,189,V,74SC0437,1,1,R,5.3000,-9,,1723,600,28,,4.5000,1100,99.0,18.0,186,0.7000,,300,3.7000,,83,0.4000,,,62,6,60,2.2000,11.2,10.2,35.11,35.32,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,374,374,2019,11,7,0928,G1Q4,30,D,59.2320,-4.7140,59.2020,-4.7020,47E5,116,V,,1,1,R,5.5000,-9,,3424,380,28,,4.5000,1100,92.0,18.0,186,0.7000,,160,3.7000,,8,0.1000,,,65,11,30,2.5000,,,,,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,368,368,2019,11,5,1527,G1Q4,30,D,59.2910,-5.1440,59.2650,-5.1060,47E4,125,V,74SC0427,1,1,R,5.7000,-9,,3584,410,28,,4.5000,1100,90.0,18.0,186,0.7000,,141,3.8000,,27,0.2000,,,30,6,10,2.0000,11.3,10.9,35.11,35.25,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,373,373,2019,11,7,0728,G1Q4,30,D,59.2940,-4.3130,59.2820,-4.3680,47E5,95,V,74SC0432,1,1,R,5.6000,-9,,3438,330,28,,4.5000,1100,88.0,18.0,186,0.7000,,246,3.7000,,350,0.2000,,,80,11,60,2.5000,11.2,11.2,35.06,35.07,,,,,,,,,,
