RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,38,94,2018,11,22,1211,29,32,D,52.0120,-10.9430,52.0430,-10.9230,33D9,141,V,,1,2,R,3.8000,-9,,3712,463,26,,5.2000,1400,120.1,23.5,247,,998,21,3.8000,,,,,,99,19,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,MB51,95,2018,11,22,1433,28,20,D,51.9630,-10.6770,51.9740,-10.6460,32D9,103,V,,1,2,R,3.8000,-9,,2457,390,26,,5.2000,1400,115.4,22.8,247,,998,60,4.0000,,,,,,100,26,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,VMS2,115,2018,11,26,1556,28,30,D,50.8390,-9.4020,50.8240,-9.3570,30E0,121,V,,1,2,R,4.1000,-9,,3582,415,26,,5.2000,1400,115.2,22.9,247,,998,117,3.9000,,,,,,184,13,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG34,118,2018,11,27,1234,28,30,D,51.1170,-9.2280,51.1170,-9.2810,31E0,115,V,,1,2,R,4.2000,-9,,3711,402,26,,5.2000,1400,115.2,22.6,247,,998,270,4.0000,,,,,,248,21,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,MB20,119,2018,11,27,1449,28,30,D,51.1130,-9.6050,51.1040,-9.6490,31E0,121,V,,1,2,R,3.9000,-9,,3240,415,26,,5.2000,1400,116.0,22.5,247,,998,251,3.5000,,,,,,231,16,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG10,120,2018,11,27,1653,28,19,D,51.2480,-9.8070,51.2630,-9.7870,31E0,111,V,,1,2,R,4.1000,-9,,2175,390,26,,5.2000,1400,111.4,22.1,247,,998,39,3.7000,,,,,,172,16,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG54,109,2018,11,25,1358,28,30,D,50.5060,-10.0430,50.5180,-10.0920,30D9,142,V,,1,2,R,3.9000,-9,,3723,462,26,,5.2000,1400,119.3,22.9,247,,998,291,4.0000,,,,,,93,16,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG199,122,2018,11,29,1028,28,30,D,51.2640,-9.2350,51.2960,-9.2190,31E0,119,V,,1,2,R,3.8000,-9,,3731,402,26,,5.2000,1400,119.6,24.2,247,,998,17,4.0000,,,,,,249,27,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG51,77,2012,11,20,0733,21,30,D,51.3480,-8.1050,51.3540,-8.1570,31E1,92,V,,1,2,R,4.5000,-9,,3683,336,26,,5.2000,1400,106.1,19.9,247,,998,280,4.0000,,,,,,236,19,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG134,116,2012,11,29,0858,21,30,D,51.4320,-8.3270,51.4190,-8.2770,31E1,86,V,,1,2,R,4.8000,-9,,3766,324,26,,5.2000,1400,99.6,18.8,247,,998,112,4.1000,,,,,,306,4,,,,,,,,,,,,,,,,
