RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,X0473,28,2019,10,28,1103,6,30,D,44.0937,-2.0665,44.0648,-2.0824,17E7,218,V,X0473,1,1,R,3.1000,-9,,3470,,26,,4.5000,1300,96.8,21.0,145,0.7000,210,,,,,,,,,,,,18.5,,35.28,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,X0481,35,2019,10,29,1533,2,31,D,44.0615,-1.3906,44.0905,-1.3785,17E8,35,V,X0481,1,1,R,4.7000,-9,,3364,,26,,4.5000,1300,49.2,15.8,145,0.7000,210,,,,,,,,,,,,18.6,,34.79,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,X0474,29,2019,10,28,1240,7,24,D,43.9956,-2.1519,43.9730,-2.1573,16E7,499,V,X0474,1,1,R,3.2000,-9,,2552,,26,,4.5000,1300,111.8,23.3,145,0.7000,210,,,,,,,,,,,,18.4,,35.33,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,X0478,32,2019,10,29,0927,3,31,D,43.9289,-1.7272,43.8976,-1.7376,16E8,113,V,X0478,1,1,R,3.3000,-9,,3568,,26,,4.5000,1300,75.3,20.8,145,0.7000,210,,,,,,,,,,,,18.3,,35.26,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,X0475,30,2019,10,28,1501,5,30,D,43.8995,-2.0798,43.8722,-2.0642,16E7,167,V,X0475,1,1,R,3.3000,-9,,3277,,26,,4.5000,1300,98.5,21.1,145,0.7000,210,,,,,,,,,,,,18.3,,35.30,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,X0477,31,2019,10,29,0659,4,20,D,43.8341,-1.9951,43.8133,-1.9941,16E8,142,V,X0477,1,1,R,3.6000,-9,,2307,,26,,4.5000,1300,87.3,19.5,145,0.7000,210,,,,,,,,,,,,18.5,,35.24,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,X0480,34,2019,10,29,1305,2,30,D,43.7483,-1.5006,43.7792,-1.4942,16E8,46,V,X0480,1,1,R,4.4000,-9,,3462,,26,,4.5000,1300,53.2,16.4,145,0.7000,210,,,,,,,,,,,,18.5,,34.23,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,X0479,33,2019,10,29,1200,2,30,D,43.6941,-1.4885,43.7254,-1.4871,16E8,36,V,X0479,1,1,R,4.5000,-9,,3481,,26,,4.5000,1300,51.6,16.2,145,0.7000,210,,,,,,,,,,,,18.4,,34.31,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,W0624,91,2018,11,12,1010,4,30,D,49.0763,-10.6042,49.0593,-10.5591,27D9,146,V,W0624,1,1,C,3.6000,-9,,3783,399,26,,4.5000,1300,96.5,20.4,145,0.7000,250,124,4.0000,4.5000,,,,,240,27,,,13.2,,35.43,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,W0625,92,2018,11,12,1301,4,30,D,49.0802,-10.0337,49.0709,-9.9902,27D9,124,V,W0625,1,1,C,3.7000,-9,,3329,399,26,,4.5000,1300,97.4,20.6,145,0.7000,250,109,3.5000,4.5000,,,,,244,22,,,13.1,,35.35,,,,,,,,,,,
