V1,V2,V3
-14.925,58.8,-1083.11999511719
-14.7565909090909,58.8,-1092.51000976562
-14.5881818181818,58.8,-950.022644042969
-14.4197727272727,58.8,-913.052612304688
-14.2513636363636,58.8,-873.012634277344
-14.0829545454545,58.8,-832.192626953125
-13.9145454545455,58.8,-890.47265625
-13.7461363636364,58.8,-1010.10260009766
-13.5777272727273,58.8,-1189.30505371094
-13.4093181818182,58.8,-1601.23498535156
-13.2409090909091,58.8,-1619.455078125
-13.0725,58.8,-1576.50500488281
-12.9040909090909,58.8,-1569.625
-12.7356818181818,58.8,-1637.875
-12.5672727272727,58.8,-1664.94006347656
-12.3988636363636,58.8,-1681.2900390625
-12.2304545454545,58.8,-1689.97009277344
-12.0620454545455,58.8,-1725.97998046875
-11.8936363636364,58.8,-1735.02001953125
-11.7252272727273,58.8,-1779.63000488281
-11.5568181818182,58.8,-1807.36999511719
-11.3884090909091,58.8,-1869.115234375
-11.22,58.8,-1881.31518554688
-11.0515909090909,58.8,-1879.21520996094
-10.8831818181818,58.8,-1874.09521484375
-10.7147727272727,58.8,-1871.06518554688
-10.5463636363636,58.8,-1878.34521484375
-10.3779545454545,58.8,-1858.33239746094
-10.2095454545455,58.8,-1822.26245117188
-10.0411363636364,58.8,-1817.15246582031
-9.87272727272727,58.8,-1824.95239257812
-9.70431818181818,58.8,-1821.22241210938
-9.53590909090909,58.8,-1805.4423828125
-9.3675,58.8,-1741.26000976562
-9.19909090909091,58.8,-1690.14001464844
-9.03068181818182,58.8,-1630.66003417969
-8.86227272727272,58.8,-1533.66003417969
-8.69386363636363,58.8,-1254.69995117188
-8.52545454545454,58.8,-1046.61999511719
-8.35704545454545,58.8,-871.869995117188
-8.18863636363636,58.8,-730.595947265625
-8.02022727272727,58.8,-449.715942382812
-7.85181818181818,58.8,-328.045959472656
-7.68340909090909,58.8,-208.615951538086
-7.515,58.8,-99.6359481811523
-7.34659090909091,58.8,-98.465950012207
-7.17818181818182,58.8,-103.152496337891
-7.00977272727272,58.8,-111.962493896484
-6.84136363636363,58.8,-128.482498168945
-6.67295454545454,58.8,-122.692497253418
-6.50454545454545,58.8,-110.742492675781
-6.33613636363636,58.8,-119.492492675781
-6.16772727272727,58.8,-116.137802124023
-5.99931818181818,58.8,-114.627807617188
-5.83090909090909,58.8,-110.377807617188
-5.6625,58.8,-95.1978073120117
-5.49409090909091,58.8,-86.4878082275391
-5.32568181818182,58.8,-80.8778076171875
-5.15727272727272,58.8,-78.7278060913086
-4.98886363636363,58.8,-81.0602874755859
-4.82045454545454,58.8,-73.1302871704102
-4.65204545454545,58.8,-66.1102905273438
-4.48363636363636,58.8,-69.8202896118164
-4.31522727272727,58.8,-79.4402923583984
-4.14681818181818,58.8,-92.1102905273438
-3.97840909090909,58.8,-95.90283203125
-3.81,58.8,-88.7828369140625
-3.64159090909091,58.8,-81.3028335571289
-3.47318181818182,58.8,-80.6628341674805
-3.30477272727273,58.8,-55.0528335571289
-3.13636363636363,58.8,-53.9928359985352
-2.96795454545454,58.8,-43.462833404541
-2.79954545454545,58.8,-67.2906723022461
-2.63113636363636,58.8,-68.6106719970703
-2.46272727272727,58.8,-72.1006698608398
-2.29431818181818,58.8,-72.4206695556641
-2.12590909090909,58.8,-80.050666809082
-1.9575,58.8,-86.800666809082
-1.78909090909091,58.8,-92.0499877929688
-1.62068181818182,58.8,-107.869987487793
-1.45227272727272,58.8,-110.439987182617
-1.28386363636363,58.8,-106.219985961914
-1.11545454545454,58.8,-110.699989318848
-0.947045454545453,58.8,-120.699989318848
-0.778636363636362,58.8,-125.972503662109
-0.61022727272727,58.8,-125.712509155273
-0.44181818181818,58.8,-129.622512817383
-0.273409090909089,58.8,-125.98250579834
-0.104999999999999,58.8,-140.542510986328
0.0634090909090919,58.8,-142.592498779297
0.231818181818184,58.8,-138.712509155273
0.400227272727275,58.8,-133.995010375977
0.568636363636365,58.8,-136.315002441406
0.737045454545456,58.8,-138.205001831055
0.905454545454548,58.8,-128.145004272461
1.07386363636364,58.8,-106.725006103516
1.24227272727273,58.8,-106.005004882812
1.41068181818182,58.8,-105.914993286133
1.57909090909091,58.8,-108.564994812012
1.7475,58.8,-108.934997558594
1.91590909090909,58.8,-105.434997558594
2.08431818181818,58.8,-102.134994506836
2.25272727272727,58.8,-101.534996032715
2.42113636363636,58.8,-104.649299621582
2.58954545454545,58.8,-107.899299621582
2.75795454545455,58.8,-113.109298706055
2.92636363636364,58.8,-115.769302368164
3.09477272727273,58.8,-106.509300231934
3.26318181818182,58.8,-106.189300537109
3.43159090909091,58.8,-110.339302062988
3.6,58.8,-225.377059936523
3.76840909090909,58.8,-263.667053222656
3.93681818181818,58.8,-272.527069091797
4.10522727272727,58.8,-280.237060546875
4.27363636363636,58.8,-265.907073974609
4.44204545454546,58.8,-247.087066650391
4.61045454545455,58.8,-246.465667724609
4.77886363636364,58.8,-224.035675048828
4.94727272727273,58.8,-221.245666503906
5.11568181818182,58.8,-229.275665283203
5.28409090909091,58.8,-214.265670776367
5.4525,58.8,-129.995666503906
5.62090909090909,58.8,42.3865432739258
